dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,overall_asr,honest_asr,compromised_asr,filename
celeba,20,10,3,erdos,2.0,64,10000,balance,80,gaussian,1,0.803,0.9091,,,,celeba_20_10_3_erdos_02_64_10000_balance_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,80,krum,1,0.8031,0.9091,,,,celeba_20_10_3_erdos_02_64_10000_balance_80attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,10,directed_deviation,1,0.4851,0.5144,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,10,backdoor,1,0.5107,0.517,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,10,gaussian,1,0.5107,0.517,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,10,krum,1,0.4898,0.5399,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,20,directed_deviation,1,0.5131,0.5172,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,20,backdoor,1,0.5131,0.5172,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,20,gaussian,1,0.5131,0.5172,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,20,krum,1,0.5131,0.5172,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,30,directed_deviation,1,0.5154,0.5168,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,30,backdoor,1,0.5154,0.5168,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,30,gaussian,1,0.5154,0.5168,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,30,krum,1,0.5154,0.5168,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,40,directed_deviation,1,0.5124,0.519,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,40,backdoor,1,0.5124,0.519,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,40,gaussian,1,0.5124,0.519,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,40,krum,1,0.5124,0.519,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,50,directed_deviation,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,50,backdoor,1,0.511,0.5217,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,50,gaussian,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,50,krum,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,60,directed_deviation,1,0.5167,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,60,backdoor,1,0.5167,0.5158,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,60,gaussian,1,0.5157,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,60,krum,1,0.5167,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,70,directed_deviation,1,0.5172,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,70,backdoor,1,0.5172,0.5145,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,70,gaussian,1,0.517,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,70,krum,1,0.5172,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,80,directed_deviation,1,0.516,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,80,backdoor,1,0.516,0.5176,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,80,gaussian,1,0.5101,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,d-fedavg,80,krum,1,0.516,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,10,directed_deviation,1,0.9054,0.9017,,,,celeba_20_10_3_erdos_02_64_10000_krum_10attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,10,backdoor,1,0.9019,0.9003,0.5423,0.5453,0.5149,celeba_20_10_3_erdos_02_64_10000_krum_10attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,10,gaussian,1,0.9046,0.9011,,,,celeba_20_10_3_erdos_02_64_10000_krum_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,10,krum,1,0.9054,0.9017,,,,celeba_20_10_3_erdos_02_64_10000_krum_10attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,20,directed_deviation,1,0.5131,0.8736,,,,celeba_20_10_3_erdos_02_64_10000_krum_20attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,20,backdoor,1,0.5131,0.8736,0.6485,0.5607,1.0,celeba_20_10_3_erdos_02_64_10000_krum_20attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,20,gaussian,1,0.9041,0.901,,,,celeba_20_10_3_erdos_02_64_10000_krum_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,20,krum,1,0.5131,0.8736,,,,celeba_20_10_3_erdos_02_64_10000_krum_20attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,30,directed_deviation,1,0.6394,0.8666,,,,celeba_20_10_3_erdos_02_64_10000_krum_30attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,30,backdoor,1,0.6394,0.8666,0.6578,0.5816,0.8356,celeba_20_10_3_erdos_02_64_10000_krum_30attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,30,gaussian,1,0.8946,0.8964,,,,celeba_20_10_3_erdos_02_64_10000_krum_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,30,krum,1,0.6394,0.8666,,,,celeba_20_10_3_erdos_02_64_10000_krum_30attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,40,directed_deviation,1,0.5124,0.5489,,,,celeba_20_10_3_erdos_02_64_10000_krum_40attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,40,backdoor,1,0.5124,0.5489,0.977,0.9616,1.0,celeba_20_10_3_erdos_02_64_10000_krum_40attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,40,gaussian,1,0.5098,0.5779,,,,celeba_20_10_3_erdos_02_64_10000_krum_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,40,krum,1,0.5124,0.5489,,,,celeba_20_10_3_erdos_02_64_10000_krum_40attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,50,directed_deviation,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_krum_50attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,50,backdoor,1,0.511,0.5217,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_krum_50attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,50,gaussian,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_krum_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,50,krum,1,0.511,0.5217,,,,celeba_20_10_3_erdos_02_64_10000_krum_50attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,60,directed_deviation,1,0.5167,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_krum_60attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,60,backdoor,1,0.5167,0.5158,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_krum_60attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,60,gaussian,1,0.5157,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_krum_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,60,krum,1,0.5167,0.5158,,,,celeba_20_10_3_erdos_02_64_10000_krum_60attack_krum_1lambda.log
